CITATION,OLE_CATEGORY,OLD_AFFIDAVIT_TYPE,TITLE
679.24(e)(2)(v)(D),3. Prohibited Species and Protected Resources,Seabird Avoidance,50 CFR
679.24(e)(2)(vi),3. Prohibited Species and Protected Resources,Seabird Harassment,50 CFR
679.28(d)(7)(i),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.28(d)(7)(ii),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.28(d)(7)(iii),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.28(g)(7)(vi)(C),2. Limited Access Program Specific,AFA,50 CFR
679.28(g)(7)(vii)(A)(2),2. Limited Access Program Specific,AFA,50 CFR
679.32(c)(3)(i)(A)(2),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(c)(3)(i)(A)(3),4. All Other Statement Types,Miscellaneous,50 CFR
679.32(d)(2)(iv),4. All Other Statement Types,Miscellaneous,50 CFR
679.42(b)(2),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(12),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(13)(i),3. Prohibited Species and Protected Resources,Prohibited Species Mishandling,50 CFR
679.7(a)(13)(ii),3. Prohibited Species and Protected Resources,Prohibited Species Mishandling,50 CFR
679.7(a)(13)(iii),3. Prohibited Species and Protected Resources,Prohibited Species Mishandling,50 CFR
679.7(a)(13)(iv),3. Prohibited Species and Protected Resources,Prohibited Species Mishandling,50 CFR
679.7(a)(20),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(e)(1),3. Prohibited Species and Protected Resources,Halibut Deck Sorting (NEW 2020),50 CFR
679.7(e)(10),3. Prohibited Species and Protected Resources,Halibut Deck Sorting (NEW 2020),50 CFR
679.7(e)(11),3. Prohibited Species and Protected Resources,Halibut Deck Sorting (NEW 2020),50 CFR
679.7(e)(12),3. Prohibited Species and Protected Resources,Halibut Deck Sorting (NEW 2020),50 CFR
679.7(e)(2),3. Prohibited Species and Protected Resources,Halibut Deck Sorting (NEW 2020),50 CFR
679.7(e)(4),3. Prohibited Species and Protected Resources,Halibut Deck Sorting (NEW 2020),50 CFR
679.7(e)(5),3. Prohibited Species and Protected Resources,Halibut Deck Sorting (NEW 2020),50 CFR
679.7(e)(6),3. Prohibited Species and Protected Resources,Halibut Deck Sorting (NEW 2020),50 CFR
679.7(e)(7),3. Prohibited Species and Protected Resources,Halibut Deck Sorting (NEW 2020),50 CFR
679.7(e)(8),3. Prohibited Species and Protected Resources,Halibut Deck Sorting (NEW 2020),50 CFR
679.7(e)(9),3. Prohibited Species and Protected Resources,Halibut Deck Sorting (NEW 2020),50 CFR
679.7(k)(3)(vi)(C),2. Limited Access Program Specific,AFA,50 CFR
679.7(k)(8)(i),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.7(k)(8)(ii),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.7(k)(8)(iii),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.7(k)(8)(iv)(A),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
679.7(k)(8)(iv)(B),3. Prohibited Species and Protected Resources,Amendment 91,50 CFR
600.1203(a)(1),4. All Other Statement Types,Miscellaneous,50 CFR
600.1203(a)(2),4. All Other Statement Types,Miscellaneous,50 CFR
600.1203(a)(3),4. All Other Statement Types,Miscellaneous,50 CFR
600.1203(a)(4),4. All Other Statement Types,Miscellaneous,50 CFR
600.1203(a)(5),4. All Other Statement Types,Miscellaneous,50 CFR
600.1203(a)(6),4. All Other Statement Types,Miscellaneous,50 CFR
600.1203(a)(7),4. All Other Statement Types,Miscellaneous,50 CFR
679.27(c)(2)(i)(A),4. All Other Statement Types,IR/IU,50 CFR
679.27(c)(2)(i)(B),4. All Other Statement Types,IR/IU,50 CFR
679.27(c)(2)(i)(C),4. All Other Statement Types,IR/IU,50 CFR
679.27(c)(2)(ii)(A),4. All Other Statement Types,IR/IU,50 CFR
679.27(c)(2)(ii)(B),4. All Other Statement Types,IR/IU,50 CFR
679.27(c)(2)(ii)(C),4. All Other Statement Types,IR/IU,50 CFR
679.27(c)(2)(iii)(A),4. All Other Statement Types,IR/IU,50 CFR
679.27(c)(2)(iii)(B),4. All Other Statement Types,IR/IU,50 CFR
679.27(c)(2)(iii)(C),4. All Other Statement Types,IR/IU,50 CFR
679.27(d),4. All Other Statement Types,IR/IU,50 CFR
679.27(e),4. All Other Statement Types,IR/IU,50 CFR
679.42(l)(6)(1),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(16),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(16),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(19),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(a)(2),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(b)(2)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(b)(2)(ii),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(b)(4)(i),4. All Other Statement Types,Miscellaneous,50 CFR
679.7(f)(11)(i),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(11)(ii),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(11)(iii),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(a)(5)(i),,,50 CFR
679.7(f)(8)(i)(A),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(8)(i)(B),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(8)(ii)(A),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(8)(ii)(B)(1),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(8)(ii)(B)(2),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(8)(iii)(A),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(f)(8)(iii)(B),2. Limited Access Program Specific,IFQ Retention,50 CFR
679.7(n)(6)(i),2. Limited Access Program Specific,Rockfish Program,50 CFR
679.7(n)(6)(ix),2. Limited Access Program Specific,Rockfish Program,50 CFR
224.103(d)(1)(i),,,50 CFR
224.103(d)(1)(ii)(A),,,50 CFR
679.102(b)(1),,,
679.102(b)(2),,,
679.102(b)(3),,,
679.102(b)(4),,,
679.102(b)(5),,,
679.102(b)(6),,,
679.102(b)(7),,,
679.102(d),,,
679.102(d)(1)(i),,,
679.102(d)(1)(ii),,,
679.102(d)(1)(iii),,,
679.102(d)(1)(iv),,,
679.102(d)(1)(v),,,
679.102(d)(1)(vi),,,
679.102(d)(1)(vii),,,
679.102(d)(2),,,
679.102(d)(3),,,
679.102(d)(4),,,
679.102(d)(5),,,
679.102(e)(1),,,
679.102(e)(2),,,
679.102(e)(3),,,
679.102(e)(4),,,
679.102(e)(5),,,
679.102(e)(6),,,
679.102(e)(7),,,
679.102(e)(8),,,
679.28(d)(9)(ii),,,
679.28(d)(9)(i),,,
679.28(d)(9)(iii),,,
679.28(d)(9)(iv)(A),,,
679.28(d)(9)(iv)(B),,,
679.28(d)(9)(v),,,
